Data Series Information
Name:;;;P3-1 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 14:23  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
30;681;9.39;0.0138;227;308;Dy_auto
31;1000;11.7;0.0117;334;383;Dy_auto

Data Series Information
Name:;;;P3-1 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 14:48  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.01;1;0.00334;0.329;Dy_auto
2;0.0147;0.0163;1.11;0.0049;0.535;Dy_auto
3;0.0215;0.0266;1.24;0.00719;0.872;Dy_auto
4;0.0316;0.0441;1.39;0.0106;1.45;Dy_auto
5;0.0464;0.0723;1.56;0.0155;2.37;Dy_auto
6;0.0681;0.102;1.5;0.0227;3.35;Dy_auto
7;0.1;0.125;1.25;0.0334;4.11;Dy_auto
8;0.147;0.147;1;0.049;4.83;Dy_auto
9;0.215;0.171;0.793;0.0719;5.6;Dy_auto
10;0.316;0.204;0.647;0.106;6.7;Dy_auto
11;0.464;0.25;0.539;0.155;8.2;Dy_auto
12;0.681;0.305;0.448;0.227;10;Dy_auto
13;1;0.369;0.369;0.334;12.1;Dy_auto
14;1.47;0.447;0.305;0.49;14.7;Dy_auto
15;2.15;0.54;0.251;0.719;17.7;Dy_auto
16;3.16;0.648;0.205;1.06;21.2;Dy_auto
17;4.64;0.776;0.167;1.55;25.4;Dy_auto
18;6.81;0.927;0.136;2.27;30.4;Dy_auto
19;10;1.1;0.11;3.34;36.1;Dy_auto
20;14.7;1.32;0.0896;4.9;43.1;Dy_auto
21;21.5;1.57;0.0729;7.19;51.5;Dy_auto
22;31.6;1.89;0.0596;10.6;61.8;Dy_auto
23;46.4;2.26;0.0487;15.5;74.1;Dy_auto
24;68.1;2.72;0.04;22.7;89.2;Dy_auto
25;100;3.29;0.0329;33.4;108;Dy_auto
26;147;4;0.0273;49;131;Dy_auto
27;215;4.9;0.0227;71.9;160;Dy_auto
28;316;6.02;0.019;106;197;Dy_auto
29;464;7.44;0.016;155;244;Dy_auto
30;681;9.26;0.0136;227;303;Dy_auto
31;1000;11.6;0.0116;334;379;Dy_auto

Data Series Information
Name:;;;P3-1 4
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:01  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00934;0.933;0.00334;0.306;Dy_auto
2;0.0147;0.0162;1.1;0.0049;0.532;Dy_auto
3;0.0215;0.0239;1.11;0.00719;0.784;Dy_auto
4;0.0316;0.0385;1.22;0.0106;1.26;Dy_auto
5;0.0464;0.0598;1.29;0.0155;1.96;Dy_auto
6;0.0681;0.0834;1.22;0.0227;2.73;Dy_auto
7;0.1;0.106;1.06;0.0334;3.49;Dy_auto
8;0.147;0.127;0.868;0.049;4.17;Dy_auto
9;0.215;0.152;0.707;0.0719;4.99;Dy_auto
10;0.316;0.185;0.586;0.106;6.07;Dy_auto
11;0.464;0.228;0.492;0.155;7.49;Dy_auto
12;0.681;0.282;0.413;0.227;9.22;Dy_auto
13;1;0.343;0.343;0.334;11.2;Dy_auto
14;1.47;0.418;0.285;0.49;13.7;Dy_auto
15;2.15;0.508;0.236;0.719;16.6;Dy_auto
16;3.16;0.613;0.194;1.06;20.1;Dy_auto
17;4.64;0.739;0.159;1.55;24.2;Dy_auto
18;6.81;0.887;0.13;2.27;29.1;Dy_auto
19;10;1.06;0.106;3.34;34.9;Dy_auto
20;14.7;1.27;0.0867;4.9;41.7;Dy_auto
21;21.5;1.53;0.0708;7.19;50;Dy_auto
22;31.6;1.83;0.058;10.6;60.1;Dy_auto
23;46.4;2.2;0.0475;15.5;72.2;Dy_auto
24;68.1;2.66;0.0391;22.7;87.2;Dy_auto
25;100;3.22;0.0322;33.4;106;Dy_auto
26;147;3.93;0.0268;49;129;Dy_auto
27;215;4.81;0.0223;71.9;158;Dy_auto
28;316;5.93;0.0187;106;194;Dy_auto
29;464;7.34;0.0158;155;240;Dy_auto
30;681;9.15;0.0134;227;300;Dy_auto
31;1000;11.5;0.0115;334;376;Dy_auto

Data Series Information
Name:;;;P3-1 5
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:13  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;1

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00666;0.667;0.00334;0.218;Dy_auto

Data Series Information
Name:;;;P3-1 6
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:15  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00868;0.869;0.00334;0.285;Dy_auto
2;0.0147;0.0159;1.08;0.0049;0.52;Dy_auto
3;0.0215;0.0278;1.29;0.00719;0.91;Dy_auto
4;0.0316;0.0464;1.47;0.0106;1.52;Dy_auto
5;0.0464;0.0716;1.54;0.0155;2.34;Dy_auto
6;0.0681;0.0945;1.39;0.0227;3.1;Dy_auto
7;0.1;0.113;1.13;0.0334;3.69;Dy_auto
8;0.147;0.131;0.891;0.049;4.29;Dy_auto
9;0.215;0.154;0.717;0.0719;5.06;Dy_auto
10;0.316;0.187;0.593;0.106;6.14;Dy_auto
11;0.464;0.231;0.497;0.155;7.56;Dy_auto
12;0.681;0.283;0.415;0.227;9.27;Dy_auto
13;1;0.344;0.344;0.334;11.3;Dy_auto
14;1.47;0.418;0.285;0.49;13.7;Dy_auto
15;2.15;0.507;0.235;0.719;16.6;Dy_auto
16;3.16;0.612;0.194;1.06;20;Dy_auto
17;4.64;0.736;0.159;1.55;24.1;Dy_auto
18;6.81;0.882;0.129;2.27;28.9;Dy_auto
19;10;1.06;0.106;3.34;34.7;Dy_auto
20;14.7;1.27;0.0863;4.9;41.5;Dy_auto
21;21.5;1.51;0.0701;7.19;49.5;Dy_auto
22;31.6;1.82;0.0576;10.6;59.7;Dy_auto
23;46.4;2.19;0.0472;15.5;71.8;Dy_auto
24;68.1;2.64;0.0388;22.7;86.6;Dy_auto
25;100;3.2;0.032;33.4;105;Dy_auto
26;147;3.9;0.0266;49;128;Dy_auto
27;215;4.78;0.0222;71.9;157;Dy_auto
28;316;5.88;0.0186;106;193;Dy_auto
29;464;7.29;0.0157;155;239;Dy_auto
30;681;9.07;0.0133;227;297;Dy_auto
31;1000;11.4;0.0114;334;373;Dy_auto

Data Series Information
Name:;;;P3-1 7
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:29  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0108;1.08;0.00334;0.355;Dy_auto
2;0.0147;0.016;1.09;0.0049;0.526;Dy_auto
3;0.0215;0.0247;1.15;0.00719;0.81;Dy_auto
4;0.0316;0.0388;1.23;0.0106;1.27;Dy_auto
5;0.0464;0.0576;1.24;0.0155;1.89;Dy_auto
6;0.0681;0.0781;1.15;0.0227;2.56;Dy_auto
7;0.1;0.0971;0.971;0.0334;3.18;Dy_auto
8;0.147;0.117;0.8;0.049;3.85;Dy_auto
9;0.215;0.142;0.66;0.0719;4.66;Dy_auto
10;0.316;0.174;0.55;0.106;5.7;Dy_auto
11;0.464;0.215;0.464;0.155;7.06;Dy_auto
12;0.681;0.266;0.39;0.227;8.7;Dy_auto
13;1;0.325;0.325;0.334;10.7;Dy_auto
14;1.47;0.398;0.271;0.49;13.1;Dy_auto
15;2.15;0.486;0.225;0.719;15.9;Dy_auto
16;3.16;0.589;0.186;1.06;19.3;Dy_auto
17;4.64;0.711;0.153;1.55;23.3;Dy_auto
18;6.81;0.856;0.126;2.27;28.1;Dy_auto
19;10;1.03;0.103;3.34;33.7;Dy_auto
20;14.7;1.23;0.084;4.9;40.4;Dy_auto
21;21.5;1.48;0.0689;7.19;48.6;Dy_auto
22;31.6;1.79;0.0565;10.6;58.5;Dy_auto
23;46.4;2.15;0.0464;15.5;70.5;Dy_auto
24;68.1;2.6;0.0382;22.7;85.3;Dy_auto
25;100;3.16;0.0316;33.4;103;Dy_auto
26;147;3.85;0.0262;49;126;Dy_auto
27;215;4.72;0.0219;71.9;155;Dy_auto
28;316;5.82;0.0184;106;191;Dy_auto
29;464;7.22;0.0155;155;236;Dy_auto
30;681;9.01;0.0132;227;295;Dy_auto
31;1000;11.3;0.0113;334;370;Dy_auto

Data Series Information
Name:;;;P3-2 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:44  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0392;3.92;0.00334;1.28;Dy_auto
2;0.0147;0.0823;5.61;0.0049;2.7;Dy_auto
3;0.0215;0.151;7;0.00719;4.94;Dy_auto
4;0.0316;0.274;8.68;0.0105;8.99;Dy_auto
5;0.0464;0.464;10;0.0155;15.2;Dy_auto
6;0.0681;0.609;8.95;0.0227;20;Dy_auto
7;0.1;0.644;6.44;0.0334;21.1;Dy_auto
8;0.147;0.663;4.51;0.049;21.7;Dy_auto
9;0.215;0.711;3.3;0.0719;23.3;Dy_auto
10;0.316;0.775;2.45;0.106;25.4;Dy_auto
11;0.464;0.838;1.8;0.155;27.4;Dy_auto
12;0.681;0.904;1.33;0.227;29.6;Dy_auto
13;1;0.98;0.979;0.334;32.1;Dy_auto
14;1.47;1.05;0.715;0.49;34.4;Dy_auto
15;2.15;1.13;0.524;0.719;37;Dy_auto
16;3.16;1.23;0.388;1.06;40.2;Dy_auto
17;4.64;1.34;0.288;1.55;43.8;Dy_auto
18;6.81;1.47;0.216;2.27;48.2;Dy_auto
19;10;1.63;0.163;3.34;53.5;Dy_auto
20;14.7;1.83;0.125;4.9;60;Dy_auto
21;21.5;2.07;0.0963;7.19;68;Dy_auto
22;31.6;2.36;0.0747;10.6;77.4;Dy_auto
23;46.4;2.71;0.0583;15.5;88.7;Dy_auto
24;68.1;3.13;0.046;22.7;103;Dy_auto
25;100;3.65;0.0365;33.4;120;Dy_auto
26;147;4.31;0.0294;49;141;Dy_auto
27;215;5.16;0.0239;71.9;169;Dy_auto
28;316;6.23;0.0197;106;204;Dy_auto
29;464;7.6;0.0164;155;249;Dy_auto
30;681;9.35;0.0137;227;306;Dy_auto
31;1000;11.6;0.0116;334;379;Dy_auto

Data Series Information
Name:;;;P3-2 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:58  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.011;1.1;0.00334;0.359;Dy_auto
2;0.0147;0.02;1.37;0.0049;0.657;Dy_auto
3;0.0215;0.0339;1.57;0.00719;1.11;Dy_auto
4;0.0316;0.0619;1.96;0.0106;2.03;Dy_auto
5;0.0464;0.111;2.39;0.0155;3.63;Dy_auto
6;0.0681;0.147;2.16;0.0227;4.82;Dy_auto
7;0.1;0.162;1.62;0.0334;5.31;Dy_auto
8;0.147;0.173;1.18;0.049;5.68;Dy_auto
9;0.215;0.193;0.895;0.0719;6.32;Dy_auto
10;0.316;0.223;0.704;0.106;7.3;Dy_auto
11;0.464;0.269;0.579;0.155;8.81;Dy_auto
12;0.681;0.324;0.476;0.227;10.6;Dy_auto
13;1;0.386;0.386;0.334;12.7;Dy_auto
14;1.47;0.462;0.315;0.49;15.1;Dy_auto
15;2.15;0.556;0.258;0.719;18.2;Dy_auto
16;3.16;0.665;0.21;1.06;21.8;Dy_auto
17;4.64;0.789;0.17;1.55;25.8;Dy_auto
18;6.81;0.937;0.138;2.27;30.7;Dy_auto
19;10;1.11;0.111;3.34;36.5;Dy_auto
20;14.7;1.32;0.0902;4.9;43.4;Dy_auto
21;21.5;1.57;0.0727;7.19;51.3;Dy_auto
22;31.6;1.88;0.0594;10.6;61.5;Dy_auto
23;46.4;2.25;0.0484;15.5;73.6;Dy_auto
24;68.1;2.7;0.0397;22.7;88.5;Dy_auto
25;100;3.26;0.0326;33.4;107;Dy_auto
26;147;3.97;0.027;49;130;Dy_auto
27;215;4.84;0.0225;71.9;159;Dy_auto
28;316;5.95;0.0188;106;195;Dy_auto
29;464;7.35;0.0158;155;241;Dy_auto
30;681;9.13;0.0134;227;299;Dy_auto
31;1000;11.4;0.0114;334;374;Dy_auto

Data Series Information
Name:;;;P3-2 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 16:12  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00975;0.975;0.00334;0.319;Dy_auto
2;0.0147;0.0165;1.13;0.0049;0.542;Dy_auto
3;0.0215;0.0273;1.27;0.00719;0.896;Dy_auto
4;0.0316;0.0451;1.43;0.0106;1.48;Dy_auto
5;0.0464;0.0698;1.5;0.0155;2.29;Dy_auto
6;0.0681;0.0938;1.38;0.0227;3.07;Dy_auto
7;0.1;0.112;1.12;0.0334;3.66;Dy_auto
8;0.147;0.131;0.89;0.049;4.28;Dy_auto
9;0.215;0.154;0.715;0.0719;5.05;Dy_auto
10;0.316;0.187;0.593;0.106;6.14;Dy_auto
11;0.464;0.23;0.496;0.155;7.54;Dy_auto
12;0.681;0.281;0.413;0.227;9.21;Dy_auto
13;1;0.341;0.341;0.334;11.2;Dy_auto
14;1.47;0.416;0.283;0.49;13.6;Dy_auto
15;2.15;0.502;0.233;0.719;16.4;Dy_auto
16;3.16;0.604;0.191;1.06;19.8;Dy_auto
17;4.64;0.727;0.157;1.55;23.8;Dy_auto
18;6.81;0.871;0.128;2.27;28.5;Dy_auto
19;10;1.04;0.104;3.34;34.2;Dy_auto
20;14.7;1.25;0.0849;4.9;40.8;Dy_auto
21;21.5;1.49;0.0694;7.19;49;Dy_auto
22;31.6;1.8;0.0568;10.6;58.8;Dy_auto
23;46.4;2.16;0.0465;15.5;70.8;Dy_auto
24;68.1;2.61;0.0383;22.7;85.5;Dy_auto
25;100;3.16;0.0316;33.4;104;Dy_auto
26;147;3.86;0.0263;49;126;Dy_auto
27;215;4.73;0.0219;71.9;155;Dy_auto
28;316;5.83;0.0184;106;191;Dy_auto
29;464;7.22;0.0156;155;237;Dy_auto
30;681;9.01;0.0132;227;295;Dy_auto
31;1000;11.3;0.0113;334;369;Dy_auto

Data Series Information
Name:;;;P3-2 4
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 16:28  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;1

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00416;0.416;0.00334;0.136;Dy_auto

Data Series Information
Name:;;;P3-2 5
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 16:30  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;1

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00505;0.505;0.00334;0.165;Dy_auto

Data Series Information
Name:;;;P3-2 6
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 16:32  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00591;0.591;0.00334;0.193;Dy_auto
2;0.0147;0.0163;1.11;0.0049;0.533;Dy_auto
3;0.0215;0.0302;1.4;0.00719;0.988;Dy_auto
4;0.0316;0.0565;1.79;0.0106;1.85;Dy_auto
5;0.0464;0.099;2.13;0.0155;3.25;Dy_auto
6;0.0681;0.127;1.86;0.0227;4.16;Dy_auto
7;0.1;0.138;1.38;0.0334;4.51;Dy_auto
8;0.147;0.148;1.01;0.049;4.83;Dy_auto
9;0.215;0.167;0.777;0.0719;5.49;Dy_auto
10;0.316;0.199;0.629;0.106;6.52;Dy_auto
11;0.464;0.244;0.526;0.155;8;Dy_auto
12;0.681;0.295;0.433;0.227;9.66;Dy_auto
13;1;0.353;0.353;0.334;11.6;Dy_auto
14;1.47;0.428;0.291;0.49;14;Dy_auto
15;2.15;0.514;0.238;0.719;16.8;Dy_auto
16;3.16;0.617;0.195;1.06;20.2;Dy_auto
17;4.64;0.739;0.159;1.55;24.2;Dy_auto
18;6.81;0.882;0.129;2.27;28.9;Dy_auto
19;10;1.05;0.105;3.34;34.5;Dy_auto
20;14.7;1.26;0.0857;4.9;41.2;Dy_auto
21;21.5;1.5;0.0696;7.19;49.1;Dy_auto
22;31.6;1.8;0.057;10.6;59.1;Dy_auto
